date,Stock_Price_Open,Stock_Volume
2024.01.19,"14,880","176,050"
2024.01.18,"14,560","130,732"
2024.01.17,"14,360","124,490"
2024.01.16,"14,500","106,060"
2024.01.15,"14,690","94,668"
2024.01.12,"14,810","134,284"
2024.01.11,"15,100","179,053"
2024.01.10,"14,780","136,511"
2024.01.09,"14,980","182,201"
2024.01.08,"14,660","186,263"
2024.01.05,"14,310","195,928"
2024.01.04,"14,200","343,918"
2024.01.03,"14,730","220,730"
2024.01.02,"14,970","162,600"
2023.12.28,"14,980","151,512"
2023.12.27,"14,950","235,395"
2023.12.26,"14,350","266,770"
2023.12.22,"14,700","431,300"
2023.12.21,"15,150","248,368"
2023.12.20,"15,160","233,012"
2023.12.19,"15,290","213,252"
2023.12.18,"15,390","229,133"
2023.12.15,"15,380","559,880"
2023.12.14,"16,160","333,171"
2023.12.13,"15,920","163,107"
2023.12.12,"16,070","203,153"
2023.12.11,"16,150","278,966"
2023.12.08,"16,090","318,331"
2023.12.07,"15,720","181,717"
2023.12.06,"15,910","297,450"
2023.12.05,"15,590","464,036"
2023.12.04,"16,300","934,518"
2023.12.01,"15,740","180,267"
2023.11.30,"15,830","148,086"
2023.11.29,"15,590","227,006"
2023.11.28,"15,810","176,285"
2023.11.27,"15,980","182,447"
2023.11.24,"16,010","127,098"
2023.11.23,"16,200","168,702"
2023.11.22,"16,140","263,189"
2023.11.21,"16,330","175,892"
2023.11.20,"16,230","158,109"
2023.11.17,"15,960","218,450"
2023.11.16,"16,410","142,789"
2023.11.15,"16,530","231,040"
2023.11.14,"16,120","179,218"
2023.11.13,"15,950","319,814"
2023.11.10,"16,130","610,054"
2023.11.09,"16,940","718,369"
2023.11.08,"16,740","2,849,792"
2023.11.07,"15,960","302,222"
2023.11.06,"16,500","492,604"
2023.11.03,"15,890","385,768"
2023.11.02,"15,400","196,828"
2023.11.01,"15,060","145,564"
2023.10.31,"15,000","238,570"
2023.10.30,"15,190","281,920"
2023.10.27,"14,640","205,988"
2023.10.26,"14,730","205,193"
2023.10.25,"15,010","223,266"
2023.10.24,"14,810","398,572"
2023.10.23,"14,070","167,038"
2023.10.20,"14,160","218,569"
2023.10.19,"14,360","243,910"
2023.10.18,"14,780","266,647"
2023.10.17,"15,400","383,179"
2023.10.16,"14,720","183,265"
2023.10.13,"15,100","110,816"
2023.10.12,"15,140","155,748"
2023.10.11,"15,160","168,915"
2023.10.10,"14,960","210,342"
2023.10.06,"15,010","257,053"
2023.10.05,"14,290","265,712"
2023.10.04,"14,520","243,202"
2023.09.27,"15,160","190,762"
2023.09.26,"14,950","309,512"
2023.09.25,"15,300","313,927"
2023.09.22,"15,030","327,576"
2023.09.21,"15,020","602,854"
2023.09.20,"15,710","1,390,386"
2023.09.19,"16,000","346,042"
2023.09.18,"16,120","219,425"
2023.09.15,"15,980","1,129,923"
2023.09.14,"15,730","301,841"
2023.09.13,"15,470","371,813"
2023.09.12,"15,720","995,228"
2023.09.11,"15,700","356,781"
2023.09.08,"16,120","374,212"
2023.09.07,"15,950","455,988"
2023.09.06,"16,190","577,718"
2023.09.05,"16,840","507,542"
2023.09.04,"17,250","431,062"
2023.09.01,"17,220","405,800"
2023.08.31,"17,600","256,762"
2023.08.30,"17,810","264,490"
2023.08.29,"17,810","290,389"
2023.08.28,"17,400","251,600"
2023.08.25,"17,650","271,241"
2023.08.24,"17,620","371,289"
2023.08.23,"17,240","510,862"
2023.08.22,"17,120","305,840"
2023.08.21,"17,100","468,956"
2023.08.18,"16,640","588,289"
2023.08.17,"17,060","514,292"
2023.08.16,"17,230","492,829"
2023.08.14,"17,700","614,962"
2023.08.11,"18,200","661,532"
2023.08.10,"18,100","917,772"
2023.08.09,"17,950","600,070"
2023.08.08,"17,950","926,516"
2023.08.07,"17,700","2,407,884"
2023.08.04,"18,940","4,001,745"
2023.08.03,"22,100","2,140,851"
2023.08.02,"22,750","2,750,808"
2023.08.01,"22,500","1,517,639"
2023.07.31,"21,500","724,002"
2023.07.28,"20,750","511,206"
2023.07.27,"20,050","478,109"
2023.07.26,"19,870","885,507"
2023.07.25,"20,900","805,523"
2023.07.24,"20,100","868,363"
2023.07.21,"21,100","295,837"
2023.07.20,"21,200","673,223"
2023.07.19,"20,500","803,757"
2023.07.18,"21,450","433,571"
2023.07.17,"21,400","426,397"
2023.07.14,"21,750","635,961"
2023.07.13,"22,300","905,643"
2023.07.12,"21,450","642,866"
2023.07.11,"21,850","851,680"
2023.07.10,"21,150","2,673,610"
2023.07.07,"21,850","449,866"
2023.07.06,"21,850","909,563"
2023.07.05,"21,500","539,316"
2023.07.04,"22,050","707,495"
2023.07.03,"22,750","649,849"
2023.06.30,"22,650","826,839"
2023.06.29,"23,050","844,995"
2023.06.28,"23,750","1,337,973"
2023.06.27,"24,150","1,317,146"
